SEQ,FECHA_CREACION,PREFIJO,CARRIER,AWB,ORIGEN,DESTINO,CODIGO_AGENTE,NOMBRE_AGENTE,PIEZAS,CWEIGHT,GROSSW,VOLUMEN,RATE,FLETE,SUBTOTAL,TAX,TOTAL,CODIGO_CLIENTE,CURRENCY,PRICE_CLASS,SHC_LIST,CHARGE_CODE,CREATE_OPER
20313657,2026-02-26,480,ET,00106046,CGO,LIM,0000009CGO,AWESOME CARGO,10,7046,7046,5.189,,0,0,0,,,CNY,,HEA,,JVALDOS
20313614,2026-02-26,480,ET,00148444,CGO,BOG,0000009CGO,AWESOME CARGO,127,2643,2643,15.84,,0,0,0,,,CNY,,,,JVALDOS
20313593,2026-02-26,480,ET,00148525,CGO,BOG,0000009CGO,AWESOME CARGO,144,3020,2893,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313578,2026-02-26,480,ET,00148492,CGO,BOG,0000009CGO,AWESOME CARGO,137,3020,2684,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313559,2026-02-26,480,ET,00148503,CGO,BOG,0000009CGO,AWESOME CARGO,128,2640,2575,15.84,,0,0,0,,,CNY,,,,JVALDOS
20313535,2026-02-26,480,ET,00148573,CGO,BOG,0000009CGO,AWESOME CARGO,95,1960,1907,11.76,,0,0,0,,,CNY,,,,JVALDOS
20313479,2026-02-26,480,ET,00148466,CGO,BOG,0000009CGO,AWESOME CARGO,140,3020,2761,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313447,2026-02-26,480,ET,00148470,CGO,BOG,0000009CGO,AWESOME CARGO,146,3020,2902,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313422,2026-02-26,480,ET,00148481,CGO,BOG,0000009CGO,AWESOME CARGO,145,3020,2951,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313399,2026-02-26,480,ET,00148514,CGO,BOG,0000009CGO,AWESOME CARGO,91,1960,1849,11.76,,0,0,0,,,CNY,,,,JVALDOS
20313349,2026-02-26,480,ET,00148562,CGO,BOG,0000009CGO,AWESOME CARGO,128,2640,2597,15.84,,0,0,0,,,CNY,,,,JVALDOS
20313336,2026-02-26,480,ET,00148536,CGO,BOG,0000009CGO,AWESOME CARGO,145,3020,2846,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313290,2026-02-26,480,ET,00148551,CGO,BOG,0000009CGO,AWESOME CARGO,142,3020,2862,18.12,,0,0,0,,,CNY,,,,JVALDOS
20312680,2026-02-26,480,ET,00148540,CGO,BOG,0000009CGO,AWESOME CARGO,143,3020,2808,18.12,,0,0,0,,,CNY,,,,JVALDOS
20312662,2026-02-26,480,ET,00314624,NLU,BOG,86100310015,ALOW FORWARDING MEXICO SA DE CV,5,3341.5,700,20.048,0.6,1904.65,1904.65,84.21,,,USD,,,PP,JVALDOS
20312635,2026-02-26,480,ET,00221513,NLU,BOG,86102340015,JAS FORWARDING DE MEXICO SA DE CV,1,1610,1610,2.785,0.85,1300.07,1300.07,57.48,,,USD,,HEA,,JVALDOS
20312573,2026-02-26,480,ET,00300845,NLU,BOG,86100380004,PLUSCARGO TRANSPORTE MEXICANA SA DE,3,714.5,491,4.286,0.7,475.14,475.14,21.01,,,USD,,HEA,,JVALDOS
20312552,2026-02-26,480,ET,00211584,NLU,BOG,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,34,9567,9566.8,39.206,0.7,6362.05,6362.05,281.27,,,USD,,HEA,,JVALDOS
20311766,2026-02-26,480,ET,00266523,NLU,BOG,86100470002,TIBA MEXICO SA DE CV,5,2028,2028,7.071,1,1926.6,1926.6,85.18,,,USD,,HEA,,JVALDOS
20311622,2026-02-26,480,ET,00226505,NLU,BOG,86100040003,EXPEDITORS INTERNATIONAL DE MEXICO,10,599.5,87,3.595,0.6,341.71,341.71,15.11,,,USD,,,PP,JVALDOS
20311588,2026-02-26,480,ET,00226494,NLU,BOG,86100040003,EXPEDITORS INTERNATIONAL DE MEXICO,2,556,232,3.335,0.55,290.51,290.51,12.84,,,USD,,,PP,JVALDOS
20311514,2026-02-26,480,ET,00295186,NLU,BOG,86100370005,GRUPO DE INTERCAMBIO COMERCIAL SA D,9,796,796,3.449,1,756.2,756.2,33.43,,,USD,,,,JVALDOS
20311476,2026-02-26,480,ET,00211676,NLU,BOG,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,1,2500,920.7,1.663,1,2375,2375,105,,,USD,,HEA,PP,JVALDOS
20311449,2026-02-26,480,ET,00211632,NLU,BOG,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,28,5689,3946,34.132,0.7,3783.18,3783.18,167.26,,,USD,,,PP,JVALDOS
20311394,2026-02-26,480,ET,00241555,NLU,BOG,86102310092,KUEHNE + NAGEL FORWARDING,3,710.5,189,4.262,0.65,438.74,438.74,19.4,,,USD,,,PP,JVALDOS
20311213,2026-02-26,480,ET,00241566,NLU,BOG,86102310092,KUEHNE + NAGEL FORWARDING,1,397,397,0.882,0.6,226.29,226.29,10,,,USD,,HEA,PP,JVALDOS
20311083,2026-02-26,480,ET,00241544,NLU,BOG,86102310092,KUEHNE + NAGEL FORWARDING,18,6595,6595,31.77,0.6,3759.15,3759.15,166.19,,,USD,,HEA,PP,JVALDOS
20309928,2026-02-26,480,A7,00314720,NLU,CGO,86199910016,NEWTRAL MEXICO,1,220,42,1.319,2.5,522.5,522.5,23.36,,86199910016,USD,,,,YMEDINA
20305873,2026-02-26,480,A7,00282855,VCP,NLU,0000002ATC,ATC AVIATION SERVICES,4,1259,1258.6,1.266,,0,0,0,,,USD,,HEA,,KVIALLI
20301662,2026-02-26,480,A7,00147556,CGO,SCL,0000009CGO,AWESOME CARGO,79,1580,1499,9.48,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301642,2026-02-26,480,A7,00147560,CGO,SCL,0000009CGO,AWESOME CARGO,96,2238,2238,11.52,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301625,2026-02-26,480,A7,00147545,CGO,SCL,0000009CGO,AWESOME CARGO,97,2263,2263,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301606,2026-02-26,480,A7,00147534,CGO,SCL,0000009CGO,AWESOME CARGO,107,2140,2132,12.84,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301577,2026-02-26,480,A7,00147501,CGO,SCL,0000009CGO,AWESOME CARGO,48,965,965,5.76,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301561,2026-02-26,480,A7,00147523,CGO,SCL,0000009CGO,AWESOME CARGO,96,2229,2229,11.52,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301494,2026-02-26,480,A7,00147512,CGO,SCL,0000009CGO,AWESOME CARGO,96,2167,2167,11.52,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20301412,2026-02-26,480,A7,00149424,CGO,SCL,0000009CGO,AWESOME CARGO,65,1280,1142,7.68,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301379,2026-02-26,480,A7,00149413,CGO,SCL,0000009CGO,AWESOME CARGO,130,2590,2355,15.54,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301348,2026-02-26,480,A7,00149855,CGO,SCL,0000009CGO,AWESOME CARGO,46,1000,892,6,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301313,2026-02-26,480,A7,00146996,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1698,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301278,2026-02-26,480,A7,00146985,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1823,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301235,2026-02-26,480,A7,00146974,CGO,SCL,0000009CGO,AWESOME CARGO,91,2080,1687,12.48,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301197,2026-02-26,480,A7,00146963,CGO,SCL,0000009CGO,AWESOME CARGO,90,2000,1710,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301157,2026-02-26,480,A7,00146952,CGO,SCL,0000009CGO,AWESOME CARGO,85,2000,1645,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301072,2026-02-26,480,A7,00146941,CGO,SCL,0000009CGO,AWESOME CARGO,100,2000,1755,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301043,2026-02-26,480,A7,00146930,CGO,SCL,0000009CGO,AWESOME CARGO,97,2000,1952,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301032,2026-02-26,480,A7,00146926,CGO,SCL,0000009CGO,AWESOME CARGO,96,2000,1963,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20301017,2026-02-26,480,A7,00146915,CGO,SCL,0000009CGO,AWESOME CARGO,94,2008,2008,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300957,2026-02-26,480,A7,00146904,CGO,SCL,0000009CGO,AWESOME CARGO,94,2160,1558,12.96,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300883,2026-02-26,480,A7,00146893,CGO,SCL,0000009CGO,AWESOME CARGO,100,2000,1749,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300845,2026-02-26,480,A7,00146882,CGO,SCL,0000009CGO,AWESOME CARGO,45,1000,860,6,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300782,2026-02-26,480,A7,00146871,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1779,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300771,2026-02-26,480,A7,00146860,CGO,SCL,0000009CGO,AWESOME CARGO,97,2000,1750,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300731,2026-02-26,480,A7,00146856,CGO,SCL,0000009CGO,AWESOME CARGO,93,2000,1727,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300708,2026-02-26,480,A7,00146845,CGO,SCL,0000009CGO,AWESOME CARGO,98,2000,1806,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300686,2026-02-26,480,A7,00146834,CGO,SCL,0000009CGO,AWESOME CARGO,98,2000,1778,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300575,2026-02-26,480,A7,00146823,CGO,SCL,0000009CGO,AWESOME CARGO,79,2000,1668,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300547,2026-02-26,480,A7,00146812,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1782,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20300332,2026-02-26,480,A7,00146801,CGO,SCL,0000009CGO,AWESOME CARGO,86,2040,1574,12.24,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20279438,2026-02-25,480,A7,00302654,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2030,2030,8.428,2.25,0,0,0,,~020279438S,CLP,,COL PES,PP,System
20278625,2026-02-25,480,A7,00302610,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2088,2088,8.428,2.25,0,0,0,,~020278625S,CLP,,COL PES,PP,System
20278617,2026-02-25,480,A7,00302621,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2057,2057,8.428,2.25,0,0,0,,~020278617S,CLP,,COL PES,PP,System
20278608,2026-02-25,480,A7,00302643,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4135,4135,16.856,2.25,0,0,0,,~020278608S,CLP,,COL PES,PP,System
20278587,2026-02-25,480,A7,00302713,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2118,2118,8.428,2.25,0,0,0,,~020278587S,CLP,,COL PES,PP,System
20278568,2026-02-25,480,A7,00302680,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4776,4776,16.856,2.25,0,0,0,,~020278568S,CLP,,COL PES,PP,System
20278550,2026-02-25,480,A7,00302665,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4056,4056,16.856,2.25,0,0,0,,~020278550S,CLP,,COL PES,PP,System
20278519,2026-02-25,480,A7,00302676,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4717,4717,16.856,2.25,0,0,0,,~020278519S,CLP,,COL PES,PP,System
20278492,2026-02-25,480,A7,00302691,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4875,4875,16.856,2.25,0,0,0,,~020278492S,CLP,,COL PES,PP,System
20278476,2026-02-25,480,A7,00302702,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2033,2033,8.428,2.25,0,0,0,,~020278476S,CLP,,COL PES,PP,System
20274000,2026-02-24,480,A7,00283301,VCP,NLU,0000002ATC,ATC AVIATION SERVICES,2,333.5,259,2,,0,0,0,,,USD,,,,KVIALLI
20236618,2026-02-22,480,A7,00147490,CGO,SCL,0000009CGO,AWESOME CARGO,28,1940,573,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236605,2026-02-22,480,A7,00147420,CGO,SCL,0000009CGO,AWESOME CARGO,51,1940,1117,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236533,2026-02-22,480,A7,00147464,CGO,SCL,0000009CGO,AWESOME CARGO,52,1940,1164,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236467,2026-02-22,480,A7,00147486,CGO,SCL,0000009CGO,AWESOME CARGO,91,2023,2023,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236455,2026-02-22,480,A7,00147431,CGO,SCL,0000009CGO,AWESOME CARGO,97,2196,2196,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236453,2026-02-22,480,A7,00147442,CGO,SCL,0000009CGO,AWESOME CARGO,97,2159,2159,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236451,2026-02-22,480,A7,00147453,CGO,SCL,0000009CGO,AWESOME CARGO,108,2060,2060,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236428,2026-02-22,480,A7,00147475,CGO,SCL,0000009CGO,AWESOME CARGO,96,2147,2147,11.64,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20236404,2026-02-22,480,A7,00149391,CGO,SCL,0000009CGO,AWESOME CARGO,101,1940,1766,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233597,2026-02-22,480,A7,00146790,CGO,SCL,0000009CGO,AWESOME CARGO,93,1940,1625,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233595,2026-02-22,480,A7,00146775,CGO,SCL,0000009CGO,AWESOME CARGO,92,1940,1545,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233592,2026-02-22,480,A7,00146720,CGO,SCL,0000009CGO,AWESOME CARGO,94,1940,1414,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233575,2026-02-22,480,A7,00146716,CGO,SCL,0000009CGO,AWESOME CARGO,90,1940,1576,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233567,2026-02-22,480,A7,00149844,CGO,SCL,0000009CGO,AWESOME CARGO,45,900,863,5.4,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233559,2026-02-22,480,A7,00149833,CGO,SCL,0000009CGO,AWESOME CARGO,93,1940,1761,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,,CGOOP1
20233552,2026-02-22,480,A7,00146786,CGO,SCL,0000009CGO,AWESOME CARGO,85,1940,1657,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233534,2026-02-22,480,A7,00146764,CGO,SCL,0000009CGO,AWESOME CARGO,85,1940,1675,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233531,2026-02-22,480,A7,00146753,CGO,SCL,0000009CGO,AWESOME CARGO,100,1983,1983,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233518,2026-02-22,480,A7,00146742,CGO,SCL,0000009CGO,AWESOME CARGO,85,1940,1615,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233513,2026-02-22,480,A7,00146731,CGO,SCL,0000009CGO,AWESOME CARGO,92,1940,1745,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233505,2026-02-22,480,A7,00146705,CGO,SCL,0000009CGO,AWESOME CARGO,87,1940,1670,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233496,2026-02-22,480,A7,00146694,CGO,SCL,0000009CGO,AWESOME CARGO,96,1940,1939,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20233480,2026-02-22,480,A7,00146683,CGO,SCL,0000009CGO,AWESOME CARGO,90,1940,1853,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232926,2026-02-22,480,A7,00146661,CGO,SCL,0000009CGO,AWESOME CARGO,98,1940,1778,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232914,2026-02-22,480,A7,00146650,CGO,SCL,0000009CGO,AWESOME CARGO,93,1940,1748,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232904,2026-02-22,480,A7,00146646,CGO,SCL,0000009CGO,AWESOME CARGO,87,1940,1752,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232895,2026-02-22,480,A7,00146672,CGO,SCL,0000009CGO,AWESOME CARGO,98,1940,1729,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232892,2026-02-22,480,A7,00146635,CGO,SCL,0000009CGO,AWESOME CARGO,94,1940,1726,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232878,2026-02-22,480,A7,00146624,CGO,SCL,0000009CGO,AWESOME CARGO,98,1940,1733,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232876,2026-02-22,480,A7,00146613,CGO,SCL,0000009CGO,AWESOME CARGO,100,1940,1750,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20232848,2026-02-22,480,A7,00146602,CGO,SCL,0000009CGO,AWESOME CARGO,97,1940,1716,11.64,1,0.95,0.95,0,,0000009FUJ,USD,,,PP,CGOOP1
20224833,2026-02-21,480,A7,00302584,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4785,4785,16.994,2.25,0,0,0,,~020224833S,CLP,,COL PES,PP,System
20224816,2026-02-21,480,A7,00302562,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4757,4757,16.994,2.25,0,0,0,,~020224816S,CLP,,COL PES,PP,System
20224807,2026-02-21,480,A7,00302595,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4078,4078,16.856,2.25,0,0,0,,~020224807S,CLP,,COL PES,PP,System
20224793,2026-02-21,480,A7,00302606,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4139,4139,16.856,2.25,0,0,0,,~020224793S,CLP,,COL PES,PP,System
20224772,2026-02-21,480,A7,00302573,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,5366,5366,16.856,2.25,0,0,0,,~020224772S,CLP,,COL PES,PP,System
20224735,2026-02-21,480,A7,00302540,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4303,4303,16.994,2.25,0,0,0,,~020224735S,CLP,,COL PES,PP,System
20224607,2026-02-21,480,A7,00302525,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4111,4111,16.856,2.25,0,0,0,,~020224607S,CLP,,COL PES,PP,System
20224588,2026-02-21,480,A7,00302536,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,199,4179,4179,16.772,2.25,0,0,0,,~020224588S,CLP,,COL PES,PP,System
20224533,2026-02-21,480,A7,00302551,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4456,4456,16.994,2.25,0,0,0,,~020224533S,CLP,,COL PES,PP,System
20224468,2026-02-21,480,A7,00302514,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4203,4203,16.856,2.25,0,0,0,,~020224468S,CLP,,COL PES,PP,System
20184768,2026-02-19,480,A7,00147416,CGO,SCL,0000009CGO,AWESOME CARGO,91,2016,2016,10.92,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184709,2026-02-19,480,A7,00147405,CGO,SCL,0000009CGO,AWESOME CARGO,97,2098,2098,11.454,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184680,2026-02-19,480,A7,00147372,CGO,SCL,0000009CGO,AWESOME CARGO,105,2104,2104,11.46,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184639,2026-02-19,480,A7,00147350,CGO,SCL,0000009CGO,AWESOME CARGO,29,638,638,3.48,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184618,2026-02-19,480,A7,00147383,CGO,SCL,0000009CGO,AWESOME CARGO,96,2208,2208,11.52,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184554,2026-02-19,480,A7,00147361,CGO,SCL,0000009CGO,AWESOME CARGO,96,2198,2198,11.52,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184435,2026-02-19,480,A7,00146532,CGO,SCL,0000009CGO,AWESOME CARGO,95,2000,1770,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184408,2026-02-19,480,A7,00146462,CGO,SCL,0000009CGO,AWESOME CARGO,97,2000,1688,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184367,2026-02-19,480,A7,00147394,CGO,SCL,0000009CGO,AWESOME CARGO,96,2230,2230,11.405,1,0.95,0.95,0,,0000009GYF,USD,,,PP,CGOOP1
20184342,2026-02-19,480,A7,00146591,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1769,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184329,2026-02-19,480,A7,00146580,CGO,SCL,0000009CGO,AWESOME CARGO,97,2000,1786,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184317,2026-02-19,480,A7,00146576,CGO,SCL,0000009CGO,AWESOME CARGO,93,2000,1800,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184287,2026-02-19,480,A7,00146565,CGO,SCL,0000009CGO,AWESOME CARGO,85,2000,1712,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184274,2026-02-19,480,A7,00146554,CGO,SCL,0000009CGO,AWESOME CARGO,86,2000,1686,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184253,2026-02-19,480,A7,00146521,CGO,SCL,0000009CGO,AWESOME CARGO,91,2000,1964,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184233,2026-02-19,480,A7,00146510,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1768,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184217,2026-02-19,480,A7,00146506,CGO,SCL,0000009CGO,AWESOME CARGO,94,2000,1762,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184195,2026-02-19,480,A7,00146495,CGO,SCL,0000009CGO,AWESOME CARGO,85,2000,1706,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184190,2026-02-19,480,A7,00146484,CGO,SCL,0000009CGO,AWESOME CARGO,92,2000,1777,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184182,2026-02-19,480,A7,00146473,CGO,SCL,0000009CGO,AWESOME CARGO,91,2000,1793,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184156,2026-02-19,480,A7,00146451,CGO,SCL,0000009CGO,AWESOME CARGO,97,2043,2043,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184120,2026-02-19,480,A7,00146440,CGO,SCL,0000009CGO,AWESOME CARGO,96,2003,2003,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20184031,2026-02-19,480,A7,00149752,CGO,SCL,0000009CGO,AWESOME CARGO,93,1900,1708,11.4,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20183927,2026-02-19,480,A7,00149741,CGO,SCL,0000009CGO,AWESOME CARGO,90,1900,1623,11.4,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20183873,2026-02-19,480,A7,00146543,CGO,SCL,0000009CGO,AWESOME CARGO,95,2100,1598,12.6,1,0.95,0.95,0,,0000009FAL,USD,,,,CGOOP1
20183519,2026-02-19,480,A7,00146436,CGO,SCL,0000009CGO,AWESOME CARGO,94,2080,1628,12.48,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20183455,2026-02-19,480,A7,00146425,CGO,SCL,0000009CGO,AWESOME CARGO,99,2035,2035,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20183392,2026-02-19,480,A7,00146414,CGO,SCL,0000009CGO,AWESOME CARGO,86,2000,1716,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20182812,2026-02-19,480,A7,00146403,CGO,SCL,0000009CGO,AWESOME CARGO,100,2000,1832,12,1,0.95,0.95,0,,0000009FAL,USD,,,PP,CGOOP1
20154994,2026-02-18,480,A7,00302466,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,140,3086,3086,11.799,2.25,0,0,0,,~020154994S,CLP,,COL PES,PP,System
20154988,2026-02-18,480,A7,00302455,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,4167,4167,16.856,2.25,0,0,0,,~020154988S,CLP,,COL PES,PP,System
20154977,2026-02-18,480,A7,00302444,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,5352,5352,16.856,2.25,0,0,0,,~020154977S,CLP,,COL PES,PP,System
20154940,2026-02-18,480,A7,00302433,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,5320,5320,16.856,2.25,0,0,0,,~020154940S,CLP,,COL PES,PP,System
20154932,2026-02-18,480,A7,00302422,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,5368,5368,16.856,2.25,0,0,0,,~020154932S,CLP,,COL PES,PP,System
20154906,2026-02-18,480,A7,00302470,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,200,5159,5159,16.856,2.25,0,0,0,,~020154906S,CLP,,COL PES,PP,System
20154819,2026-02-18,480,A7,00302481,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2490,2490,8.428,2.25,0,0,0,,~020154819S,CLP,,COL PES,PP,System
20154689,2026-02-18,480,A7,00302503,SCL,CGO,75100510015,ANDES INTERGACIÓN LOGÍSTICA,100,2037,2037,8.428,2.25,0,0,0,,~020154689S,CLP,,COL PES,PP,System
